trip_id,rider_id,zone,distance_km,duration_min,fare_amount,ride_date,surge_flag,fare_z,distance_z,hour,day_of_week,month,payment_mode_Cash,payment_mode_Credit Card,payment_mode_UPI,payment_mode_Wallet,avg_ride_distance,avg_ride_fare,is_peak_hour,name,age,gender,city,signup_date,total_rides,cancelled_rides,avg_rating,ride_frequency,days_since_signup,ride_cancelled_rate,zone_name,population_density,traffic_index,avg_speed_kmph,zone_type
T00001,R0037,Zone_10,0.8149275915974615,0.6777819370653003,0.1655869973699808,2023-11-13,0,-0.31875730909899935,0.888794500148863,0,Monday,11,True,False,False,False,0.00041535555127291616,8.439704249234495e-05,0,Aadhya Iyer,32.0,2,Ahmedabad,2020-11-21,489,6,3.36,High,2036,0.012269938650306749,Zone_10,2440,1.54,35.4,Industrial
T00002,R0104,Zone_9,-0.7676232482861892,0.4570399585381022,-0.5922400139186114,2023-07-28,1,-1.131616132781688,-0.9857971880052611,0,Friday,7,True,False,False,False,-0.0003912452845495358,-0.00030185525683925143,0,Diya Gupta,52.0,1,Kolkata,2021-05-27,328,1,3.7,High,1849,0.003048780487804878,Zone_9,11037,1.83,56.1,Mixed
T00003,R0045,Zone_8,-0.5077179315965531,0.42437038353017836,-0.470601894021239,2024-01-14,1,-1.0570199270679503,-0.7882241619011876,0,Sunday,1,True,False,False,False,-0.00025877570417765194,-0.00023985825383345514,0,Saanvi Iyer,34.0,2,Ahmedabad,2023-07-12,100,16,4.88,Low,1073,0.16,Zone_8,4516,1.93,31.0,Business
T00004,R0089,Zone_2,0.7140288591866727,0.6013952496832955,0.7260410482880332,2023-12-13,0,1.6093842111768935,0.7076858928867958,0,Wednesday,12,True,False,False,False,0.0003639290821542674,0.00037005150269522587,0,Saanvi Reddy,48.0,2,Surat,2022-09-21,308,6,3.91,Medium,1367,0.01948051948051948,Zone_2,6371,0.91,58.4,Residential
T00005,R0003,Zone_5,0.10097548426538909,0.6434627762118635,-0.10197601551699804,2023-03-15,0,-0.724429399054925,-0.1813927245815339,0,Wednesday,3,False,False,True,False,5.1465588310595867e-05,-5.1975543076961286e-05,0,Kavya Reddy,34.0,1,Pune,2023-05-04,45,9,3.76,Low,1142,0.2,Zone_5,2590,1.31,43.9,Business
T00006,R0255,Zone_2,1.1315230433633099,0.7066261547093068,0.7717989575003937,2024-02-10,0,1.9234203529971619,1.5356109546562458,0,Saturday,2,False,False,True,False,0.0005767191862198317,0.00039337357670764207,0,Reyansh Sharma,37.0,0,Bengaluru,2021-07-06,475,42,3.12,High,1809,0.08842105263157894,Zone_2,6371,0.91,58.4,Residential
T00007,R0224,Zone_4,-0.5718858898784291,0.4871534837750431,-0.276244144911071,2023-08-21,1,-0.9056817702984561,-0.8399694782617781,0,Monday,8,False,True,False,False,-0.0002914810855649486,-0.00014079721962847655,0,Ishaan Sharma,29.0,0,Ahmedabad,2020-08-04,200,1,4.31,Medium,2145,0.005,Zone_4,4038,2.46,48.2,Business
T00008,R0039,Zone_3,0.8047305981380435,0.7742358090318204,0.14853497935086185,2024-03-10,0,-0.35069104860081923,0.8699780214722845,0,Sunday,3,False,False,False,True,0.0004101583069001241,7.570590180981746e-05,0,Aadhya Iyer,24.0,1,Chennai,2023-11-18,190,14,4.2,Medium,944,0.07368421052631578,Zone_3,12971,2.11,38.0,Business
T00009,R0223,Zone_5,0.5204929041525221,0.6385187714418864,0.5023520125458946,2024-05-20,0,0.5757660578946675,0.39015781521953535,0,Monday,5,False,True,False,False,0.0002652869032377789,0.00025604078111411547,0,Meera Ghosh,30.0,0,Surat,2019-11-29,158,10,4.04,Low,2394,0.06329113924050633,Zone_5,2590,1.31,43.9,Business
T00010,R0236,Zone_5,0.11859986147798374,0.5547311685260263,0.12038771132752195,2023-03-01,0,-0.4013053946096325,-0.16022418607038325,0,Wednesday,3,False,False,True,False,6.044845131395705e-05,6.135968976937918e-05,0,Arjun Gupta,28.0,1,Ahmedabad,2020-08-10,61,1,3.36,Low,2139,0.01639344262295082,Zone_5,2590,1.31,43.9,Business
